"","country.code","asciiname","admin1.code"
"1027508","JP","Tokushima-ken","39"
"1027660","JP","Tochigi","38"
"1029053","JP","Shizuoka","37"
"1029771","JP","Shimane-ken","36"
"1029881","JP","Shiga","35"
"1030548","JP","Saitama-ken","34"
"1030620","JP","Saga-ken","33"
"1031215","JP","Osaka-fu","32"
"1031655","JP","Okinawa","47"
"1031689","JP","Okayama-ken","31"
"1031791","JP","Oita Prefecture","30"
"1032722","JP","Niigata-ken","29"
"1032900","JP","Nara-ken","28"
"1033444","JP","Nagasaki Prefecture","27"
"1033497","JP","Nagano-ken","26"
"1033992","JP","Miyazaki","25"
"1034625","JP","Mie-ken","23"
"1035172","JP","Kyoto Prefecture","22"
"1035680","JP","Kumamoto","21"
"1036385","JP","Kochi Prefecture","20"
"1037534","JP","Kanagawa","19"
"1038061","JP","Kagoshima-ken","18"
"1038070","JP","Kagawa-ken","17"
"1038618","JP","Ishikawa-ken","15"
"1039269","JP","Hyogo","13"
"1039631","JP","Hiroshima-ken","11"
"1040710","JP","Gunma-ken","10"
"1040846","JP","Gifu","09"
"1041158","JP","Fukuoka Prefecture","07"
"1041183","JP","Fukui","06"
"1041423","JP","Ehime","05"
"1042871","JP","Aichi-ken","01"
"1044369","JP","Yamagata-ken","44"
"1045700","JP","Miyagi-ken","24"
"1046325","JP","Iwate","16"
"1046475","JP","Ibaraki","14"
"1046728","JP","Fukushima-ken","08"
"1046819","JP","Chiba-ken","04"
"1046929","JP","Akita","02"
"1050071","JP","Hokkaido","12"
"1050680","JP","Aomori-ken","03"
"1125366","KE","West Pokot District","55"
"1125658","KE","Wajir District","54"
"1126053","KE","Uasin Gishu","52"
"1126130","KE","Turkana District","51"
"1126284","KE","Trans Nzoia District","50"
"1126594","KE","Tharaka District","49"
"1126799","KE","Tana River District","48"
"1127528","KE","Siaya District","46"
"1127988","KE","Samburu District","45"
"1131914","KE","Nairobi Province","05"
"1132747","KE","Murang'a District","38"
"1133465","KE","Mombasa District","37"
"1133985","KE","Meru","35"
"1134740","KE","Marsabit District","34"
"1135050","KE","Mandera District","33"
"1136933","KE","Laikipia District","29"
"1137244","KE","Kwale District","28"
"1138171","KE","Kitui District","27"
"1138374","KE","Kisumu","26"
"1138428","KE","Kisii District","25"
"1138549","KE","Kirinyaga District","24"
"1139190","KE","Kilifi District","23"
"1139831","KE","Kiambu District","22"
"1140019","KE","Kericho District","21"
"1142377","KE","Kakamega District","20"
"1143331","KE","Isiolo District","18"
"1144833","KE","Garissa District","16"
"1145551","KE","Embu District","15"
"1147047","KE","Busia District","13"
"1147126","KE","Bungoma District","12"
"1147631","KE","Baringo District","10"
"1148593","KE","Nyandarua District","43"
"1148611","KE","Vihiga District","53"
"1148613","KE","Lamu","30"
"1148614","KE","Machakos District","31"
"1148615","KE","Makueni District","32"
"1148616","KE","Marakwet District","14"
"1148618","KE","Taita Taveta District","47"
"1148619","KE","Kajiado District","19"
"1148621","KE","Nyeri District","44"
"1148623","KE","Homa Bay District","17"
"1148624","KE","Bomet District","11"
"1148628","KE","Migori District","36"
"1148632","KE","Nakuru District","39"
"1148633","KE","Narok District","41"
"1148701","KE","Nyamira District","42"
"1149128","KE","Nandi South District","40"
"1156468","KG","Osh Oblasty","08"
"1156469","KG","Batken","09"
"1156872","KG","Talas","06"
"1157150","KG","Naryn oblast","04"
"1157800","KG","Issyk-Kul Region","07"
"1157873","KG","Gorod Bishkek","01"
"1158494","KG","Jalal-Abad oblast","03"
"1158515","KG","Chuyskaya Oblast'","02"
"1162701","KG","Osh City","10"
"1162849","KH","Pursat","12"
"1162858","KH","Battambang","29"
"1163484","KH","Takeo","19"
"1163537","KH","Svay Rieng","18"
"1163572","KH","Stung Treng","17"
"1163753","KH","Otar Meanchey","27"
"1163756","KH","Siem Reap","24"
"1163991","KH","Ratanakiri","23"
"1164151","KH","Prey Veng","14"
"1164218","KH","Preah Vihear","13"
"1171622","KH","Phnom Penh","22"
"1171725","KH","Pailin","30"
"1171825","KH","Mondolkiri","10"
"1172080","KH","Kratie","09"
"1172453","KH","Kep","26"
"1172552","KH","Koh Kong","08"
"1172610","KH","Kandal","07"
"1172626","KH","Kampot","21"
"1172639","KH","Kampong Thom","05"
"1172647","KH","Kampong Speu","04"
"1172681","KH","Kampong Chhnang","03"
"1172687","KH","Kampong Cham","02"
"1173516","KH","Preah Sihanouk","28"
"1173517","KH","Banteay Meanchey","25"
"1173725","KH","Tboung Khmum","31"
"1180647","KI","Gilbert Islands","01"
"1180759","KI","Line Islands","02"
"1180805","KI","Phoenix Islands","03"
"1181628","KM","Moheli","03"
"1181699","KM","Grande Comore","02"
"1181762","KM","Ndzuwani","01"
"1182730","KN","Trinity Palmetto Point","15"
"1182780","KN","Saint Thomas Middle Island","13"
"1182781","KN","Saint Thomas Lowland","12"
"1182784","KN","Saint Peter Basseterre","11"
"1182787","KN","Saint Paul Charlestown","10"
"1182788","KN","Saint Paul Capesterre","09"
"1182789","KN","Saint Mary Cayon","08"
"1182791","KN","Saint John Figtree","07"
"1182792","KN","Saint John Capesterre","06"
"1182793","KN","Saint James Windward","05"
"1182795","KN","Saint George Gingerland","04"
"1182796","KN","Saint George Basseterre","03"
"1182799","KN","Saint Anne Sandy Point","02"
"1183090","KN","Christ Church Nichola Town","01"
"1189276","KP","Pyongyang","12"
"1189371","KP","P'yongan-namdo","15"
"1189373","KP","P'yongan-bukto","11"
"1193266","KZ","East Kazakhstan","15"
"1193877","KZ","Aqmola Oblysy","03"
"1194297","KZ","Qyzylorda Oblysy","14"
"1194558","KZ","Qostanay Oblysy","13"
"1195860","KZ","Zhambyl Oblysy","17"
"1196193","KZ","Turkistan","10"
"1197655","KZ","Almaty","02"
"1203002","KZ","Almaty Oblysy","01"
"1203069","KZ","Shymkent","1537272"
"1203324","KZ","Baikonur","08"
"1203325","KZ","Nur-Sultan","05"
"1221727","RU","Yaroslavskaya Oblast'","88"
"1223320","RU","Voronezhskaya Oblast'","86"
"1223734","RU","Vologodskaya Oblast'","85"
"1224034","RU","Volgogradskaya Oblast'","84"
"1227380","RU","Ulyanovsk Oblast","81"
"1227628","RU","Tverskaya Oblast'","77"
"1229005","RU","Tambovskaya Oblast'","72"
"1229560","RU","Stavropol'skiy Kray","70"
"1229799","RU","Smolenskaya Oblast'","69"
"1234087","RU","Saratovskaya Oblast","67"
"1234479","RU","Samarskaya Oblast'","65"
"1235858","RU","Pskovskaya Oblast'","60"
"1240560","RU","Perm Krai","90"
"1240934","RU","Penzenskaya Oblast'","57"
"1245066","RU","Novgorodskaya Oblast'","52"
"1245709","RU","North Ossetia","68"
"1247712","RU","Nenetskiy Avtonomnyy Okrug","50"
"1251924","RU","Krasnodarskiy Kray","38"
"1260553","RU","Nizhegorodskaya Oblast'","51"
"1263724","RU","Dagestan","17"
"1263825","RU","Chuvashskaya Respublika","16"
"1265397","RU","Chechenskaya Respublika","12"
"1266170","RU","Bryanskaya Oblast'","10"
"1270876","RU","Belgorodskaya Oblast'","09"
"1271648","RU","Bashkortostan","08"
"1273147","RU","Respublika Adygeya","01"
"1283741","RU","Vladimirskaya Oblast'","83"
"1291090","RU","Yamalo-Nenetskiy Avtonomnyy Okrug","87"
"1292729","RU","Tomskaya Oblast'","75"
"1293672","RU","Sverdlovskaya Oblast'","71"
"1297775","RU","Omskaya Oblast'","54"
"1298367","RU","Novosibirskaya Oblast'","53"
"1303273","RU","Chelyabinskaya Oblast'","13"
"1305541","RU","Altayskiy Kray","04"
"1311908","RU","Khabarovskiy Kray","30"
"1312486","RU","Irkutskaya Oblast'","20"
"1365578","RU","Zabaykal'skiy Kray","93"
"1393478","RW","Eastern Province","11"
"1393479","RW","Kigali Province","12"
"1393480","RW","Northern Province","13"
"1393481","RW","Western Province","14"
"1393482","RW","Southern Province","15"
"1412978","SA","Mintaqat Tabuk","19"
"1414943","SA","Mintaqat Najran","16"
"1415815","SA","Makkah Province","14"
"1416586","SA","Jizan Region","17"
"1417551","SA","Hai'l Region","13"
"1419413","SA","Mintaqat 'Asir","11"
"1419474","SA","Al Mintaqah ash Sharqiyah","06"
"1419642","SA","Mintaqat ar Riyad","10"
"1420145","SA","Al-Qassim Province","08"
"1420432","SA","Al Madinah al Munawwarah","05"
"1420673","SA","Al Jawf","20"
"1420781","SA","Mintaqat al Hudud ash Shamaliyah","15"
"1421151","SA","Mintaqat al Bahah","02"
"1436829","SB","Western Province","11"
"1441820","SB","Malaita Province","03"
"1443529","SB","Isabel Province","07"
"1444098","SB","Guadalcanal Province","06"
"1444762","SB","Central Province","10"
"1445465","SB","Temotu Province","09"
"1445721","SB","Makira-Ulawa Province","08"
