Country,ISO Code,Region,ADM1,Affected Pop Share,Type,Meta (e.g. group size thresholds,Start,End,Source,Comment
Spain,ES,Basque Country,59,"0,11",School Closings,,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ES,La Rioja,27,"1,00",School Closings,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ES,Madrid,29,"1,00",School Closings,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ES,Basque Country,59,"0,11",University Closings,,10.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ES,La Rioja,27,"1,00",University Closings,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Spain,ES,Madrid,29,"1,00",University Closings,,11.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Spain#Governmental_response,
Switzerland,CH,,,"1,00",Ban of Group Gatherings,5,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CH,,,"1,00",Border Closing,,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CH,,,"1,00",Cancelation of Large Events,1000,28.2.2020,12.3.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CH,,,"1,00",Cancelation of Large Events,100,13.3.2020,19.3.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CH,,,"1,00",Daycare Closings,,16.3.2020,,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-78454.html,
Switzerland,CH,,,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CH,,,"1,00",School Closings,,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
Switzerland,CH,,,"1,00",University Closings,,13.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Switzerland,
UK,GB,,,"1,00",Public Talk of Central Govt Figure,Queen,19.3.2020,,https://www.royal.uk/message-her-majesty-queen-19th-march-2020,
UK,GB,,,"1,00",Restaurant/Bar Closure,,21.3.2020,,https://www.cnbc.com/2020/03/20/coronavirus-uk-pm-announces-lockdown-measures-in-london.html,
UK,GB,North Ireland,NIR,"1,00",School Closings,,18.3.2020,,https://www.itv.com/news/2020-03-18/coronavirus-outbreak-wales-school-closing-by-friday-highly-possible-scottish-schools-will-shut/,
UK,GB,Wales,WLS,"1,00",School Closings,,20.3.2020,,https://www.bbc.co.uk/news/uk-wales-51947148,
UK,GB,Schotland,SCT,"1,00",School Closings,,20.3.2020,,https://www.bbc.co.uk/news/uk-scotland-51947670,
UK,GB,,,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,23.3.2020,,https://www.deutschlandfunk.de/covid-19-grossbritannien-frankreich-und-niederlande.2932.de.html?drn:news_id=1113536,
UK,GB,England,ENG,"1,00",School Closings,,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_Kingdom#cite_note-172,
US,US,,,"1,00",Border Closing,,20.3.2020,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States#Government_response,
US,US,Washington,WA,"1,00",Cancelation of Large Events,250,13.3.2020,,https://www.seattletimes.com/education-lab/inslee-announces-all-washington-k-12-schools-to-close-in-an-effort-to-slow-the-spread-of-coronavirus/,
US,US,New York,NY,"1,00",Cancelation of Large Events,250,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,US,New Jersey,NJ,"1,00",Cancelation of Large Events,250,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,US,Connecticut,CT,"1,00",Cancelation of Large Events,250,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,US,California,CA,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,20.3.2020,,https://www.theguardian.com/world/2020/mar/19/coronavirus-california-more-than-half-gavin-newsom,
US,US,Illinois,IL,"1,00",Curfew (Lockdown of All Non-Essential Public Life),,21.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,New York,NY,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,US,Connecticut,CT,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://en.wikipedia.org/wiki/Impact_of_the_2019%E2%80%9320_coronavirus_pandemic_on_education#School_and_university_closures,
US,US,Indiana,IN,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,Maryland,MD,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,Michigan,MI,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,New Hampshire,NH,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,New Jersey,NJ,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,Pennsylvania,PA,"1,00",Restaurant/Bar Closure,,16.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,not clear about the date for bar closures
US,US,Washington,WA,"1,00",Restaurant/Bar Closure,,16.3.2020,,"https://www.governor.wa.gov/news-media/inslee-statement-statewide-shutdown-restaurants-bars-and-limits-size-gatherings-expanded, https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html",
US,US,Hawaii,HI,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.hawaiinewsnow.com/2020/03/18/live-governor-discuss-latest-efforts-stem-spread-coronavirus/,
US,US,Illinois,IL,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,Iowa,IA,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,not sure if school closure already in place on 16th March
US,US,Kentucky,KY,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=94,
US,US,Louisiana,LA,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://gov.louisiana.gov/index.cfm/newsroom/detail/2411,
US,US,Massachusetts,MA,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,Minnesota,MC,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,
US,US,North Carolina,NC,"1,00",Restaurant/Bar Closure,,17.3.2020,,https://files.nc.gov/governor/documents/files/EO118.pdf,
